Source,Target,Attribute,Type
1,2,Pubmed_Article,Directed
1,3,Pubmed_Article,Directed
1,4,Pubmed_Article,Directed
1,5,Pubmed_Article,Directed
1,6,Pubmed_Article,Directed
1,7,Pubmed_Article,Directed
1,8,Pubmed_Article,Directed
