"id_","labels_"
354,"34118018"
355,"34364311"
356,"26169067"
357,"32673171"
358,"30611913"
359,"34350524"
360,"33371734"
361,"33030049"
362,"30167834"
363,"31370792"
364,"26504247"
365,"33151934"
366,"30992293"
367,"26641243"
368,"23351836"
369,"28385912"
370,"26100026"
371,"33493046"
372,"31378071"
373,"30355202"
374,"23237679"
375,"18774746"
376,"18242141"
377,"17027729"
378,"26809344"
379,"29205150"
380,"27726951"
381,"25388563"
382,"25073967"
383,"25027701"
384,"22681769"
385,"19221594"
386,"31549959"
387,"31061043"
388,"17329508"
389,"20489056"
390,"22736616"
391,"21685340"
392,"19190781"
393,"18285589"
394,"33037105"
395,"24662777"
396,"24023786"
397,"23544125"
398,"23013513"
399,"20525999"
400,"29550052"
401,"19067714"
402,"27379556"
403,"21712261"
404,"20199136"
405,"31152327"
406,"18779478"
407,"26843484"
408,"25192851"
409,"19188654"
410,"20630061"
411,"26965694"
412,"19797573"
413,"24626885"
414,"25023199"
415,"26729448"
416,"25519705"
417,"25248854"
418,"27029228"
419,"26375845"
420,"23094031"
421,"29659416"
422,"29998882"
423,"24509405"
424,"22046325"
425,"21831266"
426,"31451351"
427,"25400127"
428,"30152252"
429,"23351813"
430,"25173483"
431,"31585579"
432,"32726431"
433,"32286644"
434,"27354104"
435,"30995905"
436,"26160058"
437,"33444571"
438,"27099247"
439,"24498399"
440,"28125608"
441,"28673312"
442,"31822479"
443,"30975712"
444,"29462657"
445,"34590307"
446,"31447072"
447,"32368793"
448,"30194931"
449,"26606867"
450,"33305842"
451,"30777118"
452,"27483008"
453,"33086438"
454,"32964215"
455,"32853634"
456,"31553833"
457,"27311449"
458,"30902361"
459,"32033532"
460,"27059306"
461,"31175167"
462,"29321063"
463,"35033055"
464,"32279702"
465,"28054442"
466,"34713152"
467,"27899339"
468,"34663673"
469,"33246430"
470,"29989087"
471,"29017578"
472,"31211158"
473,"34663379"
474,"31446893"
475,"29141653"
476,"29758405"
477,"34171339"
478,"31230766"
479,"31365116"
480,"33080003"
481,"33929377"
482,"33331662"
483,"30334692"
484,"31004273"
485,"33184151"
486,"34213086"
487,"31456070"
488,"32986097"
489,"33004383"
490,"30446575"
491,"33568371"
492,"31974203"
493,"35031547"
494,"33196606"
495,"34886885"
496,"31368441"
497,"34114954"
498,"33284392"
499,"33548750"
500,"34641821"
501,"34419134"
502,"33851388"
503,"33971828"
504,"34559670"
505,"34541429"
506,"34492306"
507,"32593524"
508,"28508936"
509,"34268564"
510,"34037323"
511,"32532267"
512,"30218155"
513,"25593078"
514,"31809224"
515,"33405284"
516,"34230022"
517,"29472258"
518,"26510412"
519,"31951599"
520,"23457222"
521,"19812931"
522,"33570304"
523,"31782661"
524,"30153871"
525,"29883936"
526,"28846801"
527,"28234437"
528,"27420134"
529,"27233466"
530,"26228414"
531,"25881582"
532,"23561230"
533,"22098628"
534,"20409444"
535,"19210946"
536,"18681768"
537,"18399724"
538,"17728418"
539,"17404119"
540,"17392295"
541,"24345717"
542,"17854250"
543,"17685736"
544,"29329602"
545,"20133895"
546,"19713235"
547,"17257476"
548,"21795435"
549,"19854555"
550,"20473991"
551,"21565487"
552,"23744513"
553,"26474010"
554,"24816198"
555,"24175720"
556,"24067192"
557,"23673347"
558,"23497790"
559,"23485955"
560,"22027845"
561,"19358790"
562,"29771687"
563,"28359318"
564,"21419411"
565,"20202633"
566,"19338655"
567,"21091391"
568,"20712869"
569,"22920599"
570,"22898443"
571,"31875737"
572,"23386053"
573,"21262099"
574,"29867930"
575,"28704363"
576,"28222139"
577,"21422302"
578,"26621551"
579,"21447161"
580,"28545407"
581,"31141634"
582,"28160528"
583,"27627802"
584,"27149635"
585,"26598115"
586,"25238728"
587,"23171095"
588,"19826022"
589,"33910159"
590,"24793909"
591,"24497658"
592,"23711168"
593,"34473343"
594,"33306283"
595,"33148977"
596,"30123524"
597,"25016482"
598,"26053217"
599,"33530929"
600,"30727962"
601,"25693013"
