ID,Label,Attribute
1,"https://www.who.int/clinical-trials-registry-platform/ISRCTN14279335
",trial
2,"https://pubmed.ncbi.nlm.nih.gov/33151934
",Pubmed_Article
3,"https://pubmed.ncbi.nlm.nih.gov/30992293
",Pubmed_Article
